Year,Country,Name,Role
2022,Netherlands,Eljakim Schrijvers,Treasurer
2022,Netherlands,Haifeng Xu,Guest
2022,Netherlands,Hui Liao,Guest
2022,Netherlands,Zhen Yu,Guest
2022,New Zealand,Suzanne Scott,Leader
2022,New Zealand,Eric Song,Deputy leader
2022,New Zealand,Andrea Gallop,Guest
2022,New Zealand,Lydia Looi,Guest
2022,New Zealand,Margot Phillipps,Guest
2022,New Zealand,Michelle Hsieh,Guest
2022,Nigeria,Oluchi Jennie Bamidele,Leader
2022,Nigeria,Sarah Arih,Deputy leader
2022,Nigeria,Victor Zwalmak Rimdans,Guest
2022,North Macedonia,Emil Stankov,Leader
2022,North Macedonia,Martin Dinev,Deputy leader
2022,North Macedonia,Mile Jovanov,IC member
2022,North Macedonia,Vladislav Bidikov,Guest
2022,Norway,Birk Tjelmeland,Leader
2022,Norway,Magnus Hegdahl,Deputy leader
2022,Palestine,Musa Alrefaya,Leader
2022,Palestine,Samed Al-Hajajla,Deputy leader
2022,Palestine,Basil Hijaz,Guest
2022,Palestine,Mohammed Khalil,Guest
2022,Peru,Racso Galvan,Leader
2022,Peru,Daniel Soncco,Deputy leader
2022,Philippines,Gerard Francis Ortega,Leader
2022,Philippines,Kevin Charles Atienza,Deputy leader
2022,Philippines,Edge Angeles,Guest
2022,Poland,Piotr Chrząstowski-Wachtel,Leader
2022,Poland,Pawel Gawrychowski,Deputy leader
2022,Poland,Jakub Łącki,ISC member
2022,Poland,Judyta Łącka,Guest
2022,Poland,Staś Łącki,Guest
2022,Portugal,Pedro Ribeiro,Leader
2022,Portugal,Duarte Nóbrega,Deputy leader
2022,Portugal,Kevin Pucci,Invited guest
2022,Republic of Korea,Sung Ryul Kim,Leader
2022,Republic of Korea,Inbok Lee,Deputy leader
2022,Republic of Korea,Gyojun Youn,Guest
2022,Republic of Korea,Jin Wook Kim,Guest
2022,Republic of Korea,Onjo Lee,Guest
2022,Romania,Marius Nicoli,Leader
2022,Romania,Andrei-Costin Constantinescu,Deputy leader
2022,Saudi Arabia,Akram Ahmed,Leader
2022,Saudi Arabia,Esraa Almajhad,Deputy leader
2022,Saudi Arabia,Aamer Obaid,Guest
2022,Saudi Arabia,Abdullah Althobaity,Guest
2022,Saudi Arabia,Basil Assadhan,Guest
2022,Saudi Arabia,Majed Alzahrani,Guest
2022,Serbia,Marko Savić,Leader
2022,Serbia,Pavle Martinović,Deputy leader
2022,Serbia,Marko Šišović,Guest
2022,Serbia,Milica Mićić,Guest
2022,Serbia,Mladen Puzić,Guest
2022,Singapore,Steven Halim,Leader
2022,Singapore,Da Li,Deputy leader
2022,Singapore,Sun Teck Tan,IC member
2022,Singapore,Wei Liang Gan,ISC member
2022,Singapore,Ranald Yun Shao Lam,ITC member
2022,Singapore,Jeffrey Chun Hean Lee,Guest
2022,Singapore,Lim Rui Yuan,Invited guest
2022,Singapore,Si Jie Lin,Invited guest
2022,Singapore,Wen Yuen Pang,Invited guest
2022,Singapore,Zit Seng Lai,Invited guest
2022,Slovakia,Jakub Šimo,Leader
2022,Slovakia,Samuel Gurský,Deputy leader
