Year,Name,Role
2013,Krassimir Manev,IC member
2013,Krešimir Malnar,IC member
2013,Mārtiņš Opmanis,IC member
2013,Valentina Dagienė,IC member
2013,Vladimir Kiryukhin,IC member
2013,Ali Sharifi Zarchi,ISC member
2013,Bakhyt Matkarimov,ISC member
2013,Benjamin Burton,ISC member
2013,Fredrik Niemelä,ISC member
2013,Ling-Jyh Chen,ISC member
2013,Martin Mareš,ISC member
2013,Michal Forišek,ISC member
2013,Pang-Feng Liu,ISC member
2013,Roberto Grossi,ISC member
2014,Richard Forster,President
2014,Madhavan Mukund,Executive Director
2014,Greg Lee,Chairman
2014,Bakhyt Matkarimov,IC member
2014,Eslam Wageed,IC member
2014,Krešimir Malnar,IC member
2014,Mārtiņš Opmanis,IC member
2014,Mohammad Ali Abam,IC member
2014,Ricardo Anido,IC member
2014,Valentina Dagienė,IC member
2014,Vladimir Kiryukhin,IC member
2014,Ali Sharifi Zarchi,ISC member
2014,Artem Iglikov,ISC member
2014,Benjamin Burton,ISC member
2014,Fredrik Niemelä,ISC member
2014,Jakub Łącki,ISC member
2014,Martin Mareš,ISC member
2014,Pang-Feng Liu,ISC member
2014,Pavel Mavrin,ISC member
2015,Krassimir Manev,President
2015,Margot Phillipps,Executive Director
2015,Eljakim Schrijvers,Treasurer
2015,Bakhyt Matkarimov,Chairman
2015,Benjamin Burton,IC member
2015,Eslam Wageed,IC member
2015,Greg Lee,IC member
2015,Mārtiņš Opmanis,IC member
2015,Mohammad Ali Abam,IC member
2015,Ricardo Anido,IC member
2015,Seiichi Tani,IC member
2015,Valentina Dagienė,IC member
2015,Vladimir Kiryukhin,IC member
2015,Hamid Zarrabi-Zadeh,ISC member
2015,Jakub Łącki,ISC member
2015,Martin Mareš,ISC member
2015,Michal Forišek,ISC member
2015,Pang-Feng Liu,ISC member
2015,Pavel Mavrin,ISC member
2015,Richard Peng,ISC member
2015,Bernard Blackham,ITC member
2015,Fredrik Niemelä,ITC member
2015,Kian Mirjalali,ITC member
2015,Ling-Jyh Chen,ITC member
2015,Sergei Masiagin,ITC member
2015,Stefano Maggiolo,ITC member
2016,Krassimir Manev,President
2016,Margot Phillipps,Executive Director
2016,Eljakim Schrijvers,Treasurer
2016,Vladimir Kiryukhin,Chairman
2016,Bakhyt Matkarimov,IC member
2016,Benjamin Burton,IC member
2016,Eslam Wageed,IC member
2016,Fuad Hajiyev,IC member
2016,Krešimir Malnar,IC member
2016,Mile Jovanov,IC member
2016,Mohammad Ali Abam,IC member
2016,Ricardo Anido,IC member
2016,Seiichi Tani,IC member
2016,Jakub Łącki,ISC member
2016,Michal Forišek,ISC member
2016,Mohammad Mahdian,ISC member
2016,Pavel Mavrin,ISC member
2016,Richard Peng,ISC member
2016,Tetsushi Ito,ISC member
2016,Ulugbek Adilbekov,ISC member
2016,Aman Sariyev,ITC member
2016,Bernard Blackham,ITC member
2016,Fredrik Niemelä,ITC member
2016,Hamid Zarrabi-Zadeh,ITC member
2016,Martin Mareš,ITC member
2016,Masaki Hara,ITC member
2016,Sergei Masiagin,ITC member
2016,Stefano Maggiolo,ITC member
2017,Krassimir Manev,President
2017,Ricardo Anido,Executive Director
2017,Eljakim Schrijvers,Treasurer
2017,Mohammad Ali Abam,Chairman
2017,Araz Yusubov,IC member
2017,Benjamin Burton,IC member
2017,Krešimir Malnar,IC member
2017,Mathias Hiron,IC member
2017,Mile Jovanov,IC member
2017,Seiichi Tani,IC member
2017,Sun Teck Tan,IC member
2017,Vladimir Kiryukhin,IC member
2017,Ali Sharifi Zarchi,ISC member
2017,Farid Ahmadov,ISC member
2017,Ikumi Hide,ISC member
2017,Jakub Łącki,ISC member
2017,Michal Forišek,ISC member
2017,Pavel Mavrin,ISC member
2017,Richard Peng,ISC member
2017,Bernard Blackham,ITC member
2017,Hamid Zarrabi-Zadeh,ITC member
2017,Jamaladdin Hasanov,ITC member
2017,Martin Mareš,ITC member
2017,Masaki Hara,ITC member
2017,Sergei Masiagin,ITC member
2017,Stefano Maggiolo,ITC member
2018,Greg Lee,President
2018,Ricardo Anido,Secretary
2018,Eljakim Schrijvers,Treasurer
2018,Kazuo Furukawa,Chairman
2018,Araz Yusubov,IC member
2018,Eslam Wageed,IC member
2018,Krešimir Malnar,IC member
2018,Mathias Hiron,IC member
2018,Mile Jovanov,IC member
2018,Mohammad Ali Abam,IC member
2018,Seiichi Tani,IC member
2018,Sun Teck Tan,IC member
2018,Valentina Dagienė,IC member
2018,Ali Sharifi Zarchi,ISC member
2018,Farid Ahmadov,ISC member
2018,Jakub Łącki,ISC member
2018,Jonathan Irvin Gunawan,ISC member
2018,Richard Peng,ISC member
2018,Tetsushi Ito,ISC member
2018,Wei Liang Gan,ISC member
2018,Bernard Blackham,ITC member
2018,Hamid Zarrabi-Zadeh,ITC member
2018,Jamaladdin Hasanov,ITC member
2018,Martin Mareš,ITC member
2018,Ranald Yun Shao Lam,ITC member
2018,Rie Shigetomi Yamaguchi,ITC member
2018,William Di Luigi,ITC member
2019,Greg Lee,President
2019,Margot Phillipps,Secretary
2019,Eljakim Schrijvers,Treasurer
2019,Jeyhun Bayramov,Chairman
2019,Araz Yusubov,IC member
2019,Benjamin Burton,IC member
2019,Eduards Kaļiņičenko,IC member
2019,Eslam Wageed,IC member
2019,Mathias Hiron,IC member
2019,Mile Jovanov,IC member
2019,Seiichi Tani,IC member
2019,Sun Teck Tan,IC member
2019,Valentina Dagienė,IC member
2019,Yugo Kartono Isal,IC member
2019,Ali Sharifi Zarchi,ISC member
2019,Farid Ahmadov,ISC member
2019,Jakub Łącki,ISC member
2019,Jonathan Irvin Gunawan,ISC member
2019,Mohamed AbdElWahab,ISC member
2019,Riku Kawasaki,ISC member
2019,Wei Liang Gan,ISC member
2019,Fredrik Niemelä,ITC member
2019,Jamaladdin Hasanov,ITC member
2019,Martin Mareš,ITC member
2019,Ranald Yun Shao Lam,ITC member
2019,Rie Shigetomi Yamaguchi,ITC member
2019,Wael Ewida,ITC member
2019,William Di Luigi,ITC member
2020,Greg Lee,President
2020,Eljakim Schrijvers,Treasurer
2020,Bernard Cheng Yian Tan,Chairman
