Rank,Name,Country,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Score,Rel_score(%),Award
77,Giovanni Mascellani,Italy,40,0,0,78,100,0,218,36.33,Bronze
77,Visit Pataranutaporn,Thailand,100,0,3,0,100,15,218,36.33,Bronze
79,Ioannis Chatzimichos,Greece,72,7,62,0,58,15,214,35.67,Bronze
79,Man Hin Jeffrey Hon,"Hong Kong, China",100,0,3,100,11,0,214,35.67,Bronze
79,Robin Cheng,Canada,100,3,21,0,90,0,214,35.67,Bronze
82,Ming Fung Philip Tai,"Hong Kong, China",100,0,13,0,100,0,213,35.50,Bronze
82,Reinardus Surya Pradhitya,Indonesia,100,10,22,0,71,10,213,35.50,Bronze
84,Adas Burkšaitis,Lithuania,100,0,0,0,100,10,210,35.00,Bronze
84,Lim Wei Zhong,Singapore,100,0,0,0,100,10,210,35.00,Bronze
86,Paolo Comaschi,Italy,90,0,21,0,76,20,207,34.50,Bronze
87,Aliaksei Ropan,Belarus,30,0,33,5,100,35,203,33.83,Bronze
88,Chiam Jia-Han,Singapore,100,2,0,0,100,0,202,33.67,Bronze
88,Srivatsan Balakrishnan,India,100,0,0,0,72,30,202,33.67,Bronze
88,Vytautas Gruslys,Lithuania,72,0,0,0,100,30,202,33.67,Bronze
91,Eiichi Matsumoto,Japan,78,0,0,68,55,0,201,33.50,Bronze
92,Eike Müller,Germany,100,0,0,0,100,0,200,33.33,Bronze
92,Gábor Danner,Hungary,100,0,0,0,100,0,200,33.33,Bronze
92,Peter Fulla,Slovakia,100,0,0,0,100,0,200,33.33,Bronze
95,Bogdan Tantsyura,Ukraine,92,0,0,5,100,0,197,32.83,Bronze
96,Quang Vu,Vietnam,100,0,0,0,90,5,195,32.50,Bronze
97,Shuo fu Chen,Taiwan,100,0,7,0,85,0,192,32.00,Bronze
98,Martin Fixman,Argentina,100,5,40,5,40,0,190,31.67,Bronze
98,Stefan Yordanov  Avramov,Bulgaria,100,0,0,0,80,10,190,31.67,Bronze
100,Risan,Indonesia,100,7,40,0,22,15,184,30.67,Bronze
101,Maja Kabiljo,Serbia,100,0,14,7,58,0,179,29.83,Bronze
102,Martin Marinov,Bulgaria,100,0,40,0,22,15,177,29.50,Bronze
103,Ahmed Salem Ezzat,Egypt,100,0,40,0,35,0,175,29.17,Bronze
104,Ludwig Schmidt,Germany,72,0,0,0,100,0,172,28.67,Bronze
105,Mikko Sysikaski,Finland,56,0,0,7,98,5,166,27.67,Bronze
105,Motoki Takigiku,Japan,100,0,30,0,26,10,166,27.67,Bronze
107,Marcelo Galvão Póvoa,Brazil,40,4,10,1,100,10,165,27.50,Bronze
108,Aleksi Hartikainen,Finland,20,0,18,0,90,35,163,27.17,Bronze
108,Martun Karapetyan,Armenia,100,2,0,1,40,20,163,27.17,Bronze
110,Anders Roy Christiansen,Denmark,100,0,9,0,53,0,162,27.00,Bronze
111,Jan Berčič,Slovenia,100,0,21,0,40,0,161,26.83,Bronze
112,Gabriel Luis Mello Dalalio,Brazil,30,0,29,0,100,0,159,26.50,Bronze
113,Muhammad Saadiq Moolla,South Africa,56,0,0,0,100,0,156,26.00,Bronze
114,Hayk Saribekyan,Armenia,100,0,19,0,35,0,154,25.67,Bronze
114,Oļegs Ošmjans,Latvia,100,0,29,5,0,20,154,25.67,Bronze
116,Listiarso Wastuargo,Indonesia,100,0,26,7,5,15,153,25.50,Bronze
116,Nicolas Bruno Ponieman,Argentina,40,0,18,0,95,0,153,25.50,Bronze
118,Adrian Satja Kurdija,Croatia,30,7,0,0,100,15,152,25.33,Bronze
118,Bogdan-Cristian Tataroiu,Romania,100,0,21,0,26,5,152,25.33,Bronze
118,Bruno Rahle,Croatia,100,0,11,1,40,0,152,25.33,Bronze
118,Christophe Kamphaus,Luxembourg,100,0,20,0,22,10,152,25.33,Bronze
122,Dat Nguyen,Vietnam,20,0,0,0,95,35,150,25.00,Bronze
122,Simon Lindholm,Sweden,100,10,0,0,40,0,150,25.00,Bronze
124,Aaron Voelker,Canada,100,0,8,0,40,0,148,24.67,Bronze
124,Mehmet Ozan Saka,Türkiye,20,0,23,0,90,15,148,24.67,Bronze
124,Zurab Kutsia,Georgia,100,0,6,5,22,15,148,24.67,Bronze
127,David Venhoek,Netherlands,100,0,12,0,35,0,147,24.50,Bronze
127,Eduards Kaļiņičenko,Latvia,20,0,0,7,100,20,147,24.50,Bronze
127,Levan Varamashvili,Georgia,100,10,9,6,22,0,147,24.50,Bronze
127,Uglješa Stojanović,Serbia,36,0,11,0,100,0,147,24.50,Bronze
127,Ángel Pina,Spain,62,0,23,0,62,0,147,24.50,Bronze
132,Chin Zhan Xiong,Singapore,100,0,18,7,2,15,142,23.67,Bronze
132,Pedro Veras Bezerra da Silva,Brazil,100,0,32,0,0,10,142,23.67,Bronze
134,Rodrigo Ruben Santiago Nieves,Mexico,100,0,0,5,35,0,140,23.33,Bronze
135,Rafael Mantilla,Colombia,100,0,0,0,39,0,139,23.17,Bronze
136,Ricardo Hahn Pereira,Brazil,100,0,0,0,2,35,137,22.83,Bronze
137,Mariam Kobiashvili,Georgia,100,0,0,5,31,0,136,22.67,Bronze
138,Samuel Hapák,Slovakia,100,0,29,0,0,0,129,21.50,Bronze
139,Nadeem Moidu,India,30,0,0,0,98,0,128,21.33,Bronze
140,Pradeep Mathias,India,86,0,0,1,40,0,127,21.17,Bronze
140,Xi Chen,Australia,100,0,19,0,8,0,127,21.17,Bronze
142,,No country,72,0,0,0,51,0,123,20.50,
142,,No country,100,0,0,0,8,15,123,20.50,
144,,No country,56,0,29,0,35,0,120,20.00,
144,,No country,30,0,33,7,50,0,120,20.00,
146,,No country,64,0,21,5,27,0,117,19.50,
147,,No country,10,10,0,5,85,5,115,19.17,
148,,No country,0,0,14,0,100,0,114,19.00,
149,,No country,0,0,0,6,100,5,111,18.50,
149,,No country,100,0,0,11,0,0,111,18.50,
151,,No country,48,0,21,1,40,0,110,18.33,
151,,No country,20,2,40,7,26,15,110,18.33,
151,,No country,10,0,0,0,100,0,110,18.33,
151,,No country,100,0,0,0,0,10,110,18.33,
155,,No country,74,0,0,0,35,0,109,18.17,
156,,No country,40,0,17,5,46,0,108,18.00,
156,,No country,0,0,8,0,100,0,108,18.00,
158,,No country,100,0,0,0,7,0,107,17.83,
158,,No country,40,10,2,5,40,10,107,17.83,
160,,No country,100,0,0,0,6,0,106,17.67,
160,,No country,56,0,0,0,35,15,106,17.67,
162,,No country,72,0,6,0,26,0,104,17.33,
163,,No country,100,0,0,0,2,0,102,17.00,
163,,No country,40,0,62,0,0,0,102,17.00,
165,,No country,40,0,21,0,40,0,101,16.83,
166,,No country,100,0,0,0,0,0,100,16.67,
166,,No country,100,0,0,0,0,0,100,16.67,
168,,No country,30,0,21,0,30,15,96,16.00,
169,,No country,72,0,0,0,22,0,94,15.67,
169,,No country,54,0,40,0,0,0,94,15.67,
171,,No country,40,0,7,0,40,5,92,15.33,
171,,No country,20,0,40,0,22,10,92,15.33,
173,,No country,20,0,25,0,31,10,86,14.33,
174,,No country,30,0,0,28,20,5,83,13.83,
175,,No country,40,0,40,0,2,0,82,13.67,
176,,No country,30,2,7,0,22,15,76,12.67,
176,,No country,30,0,11,0,35,0,76,12.67,
176,,No country,30,0,11,0,35,0,76,12.67,
179,,No country,38,0,0,0,35,0,73,12.17,
180,,No country,30,7,0,0,35,0,72,12.00,
181,,No country,10,0,21,7,33,0,71,11.83,
181,,No country,20,0,11,5,35,0,71,11.83,
183,,No country,20,0,13,0,22,15,70,11.67,
184,,No country,10,0,0,0,58,0,68,11.33,
184,,No country,20,0,32,0,16,0,68,11.33,
186,,No country,30,0,0,15,21,0,66,11.00,
186,,No country,66,0,0,0,0,0,66,11.00,
188,,No country,30,0,10,0,22,0,62,10.33,
189,,No country,10,0,0,0,51,0,61,10.17,
190,,No country,20,0,0,0,40,0,60,10.00,
190,,No country,20,0,0,0,40,0,60,10.00,
192,,No country,20,0,6,5,26,0,57,9.50,
193,,No country,46,0,0,0,10,0,56,9.33,
194,,No country,10,0,14,0,31,0,55,9.17,
194,,No country,0,0,0,0,40,15,55,9.17,
196,,No country,20,2,0,0,32,0,54,9.00,
197,,No country,10,0,0,10,33,0,53,8.83,
197,,No country,30,0,18,0,5,0,53,8.83,
197,,No country,20,0,20,13,0,0,53,8.83,
200,,No country,10,10,0,0,22,10,52,8.67,
201,,No country,10,0,0,5,35,0,50,8.33,
202,,No country,20,0,14,0,0,15,49,8.17,
203,,No country,0,0,0,0,40,5,45,7.50,
204,,No country,30,0,0,10,2,0,42,7.00,
204,,No country,0,0,0,0,22,20,42,7.00,
206,,No country,20,0,21,0,0,0,41,6.83,
206,,No country,20,0,21,0,0,0,41,6.83,
208,,No country,0,0,0,0,40,0,40,6.67,
208,,No country,0,0,0,0,40,0,40,6.67,
208,,No country,0,0,0,0,40,0,40,6.67,
208,,No country,0,0,0,0,35,5,40,6.67,
212,,No country,10,0,3,0,24,0,37,6.17,
212,,No country,20,0,0,0,2,15,37,6.17,
214,,No country,10,0,0,16,0,10,36,6.00,
214,,No country,0,0,32,0,4,0,36,6.00,
216,,No country,0,0,0,0,35,0,35,5.83,
216,,No country,0,0,0,0,35,0,35,5.83,
216,,No country,10,0,3,0,22,0,35,5.83,
219,,No country,0,0,0,0,33,0,33,5.50,
219,,No country,0,0,0,0,13,20,33,5.50,
221,,No country,10,0,0,0,22,0,32,5.33,
221,,No country,10,0,0,0,22,0,32,5.33,
223,,No country,0,0,0,0,26,5,31,5.17,
224,,No country,10,0,5,0,0,15,30,5.00,
225,,No country,20,0,0,0,8,0,28,4.67,
226,,No country,20,0,0,5,2,0,27,4.50,
227,,No country,0,0,0,0,26,0,26,4.33,
228,,No country,10,0,0,0,15,0,25,4.17,
229,,No country,10,5,0,0,8,0,23,3.83,
230,,No country,0,0,0,0,20,0,20,3.33,
230,,No country,0,0,0,0,0,20,20,3.33,
230,,No country,20,0,0,0,0,0,20,3.33,
233,,No country,0,0,0,0,0,15,15,2.50,
233,,No country,0,0,0,0,0,15,15,2.50,
235,,No country,0,0,0,0,2,10,12,2.00,
235,,No country,10,0,0,0,2,0,12,2.00,
237,,No country,10,0,0,0,0,0,10,1.67,
237,,No country,10,0,0,0,0,0,10,1.67,
237,,No country,10,0,0,0,0,0,10,1.67,
237,,No country,0,0,0,0,0,10,10,1.67,
237,,No country,10,0,0,0,0,0,10,1.67,
237,,No country,10,0,0,0,0,0,10,1.67,
237,,No country,10,0,0,0,0,0,10,1.67,
244,,No country,0,0,0,0,8,0,8,1.33,
245,,No country,0,0,0,0,2,5,7,1.17,
246,,No country,0,0,0,6,0,0,6,1.00,
246,,No country,0,0,0,4,2,0,6,1.00,
246,,No country,0,0,0,0,6,0,6,1.00,
249,,No country,0,0,0,0,0,5,5,0.83,
249,,No country,0,0,0,5,0,0,5,0.83,
249,,No country,0,0,0,5,0,0,5,0.83,
249,,No country,0,0,0,5,0,0,5,0.83,
253,,No country,0,0,0,0,2,0,2,0.33,
253,,No country,0,0,0,0,2,0,2,0.33,
253,,No country,0,0,0,0,2,0,2,0.33,
253,,No country,0,0,0,0,2,0,2,0.33,
253,,No country,0,0,0,0,2,0,2,0.33,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
258,,No country,0,0,0,0,0,0,0,0.00,
