Rank,Name,Country,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Score,Rel_score(%),Award
65,Spyros Papadimitriou,Greece, , , , , , , , ,133,66.50,Bronze
68,César Arturo Cepeda García,Mexico, , , , , , , , ,132,66.00,Bronze
69,Said Behzadipour,Iran, , , , , , , , ,131,65.50,Bronze
70,Rolando Miguel Lorenzo Vera,Cuba, , , , , , , , ,129,64.50,Bronze
70,Young Ho Choi,Republic of Korea, , , , , , , , ,129,64.50,Bronze
72,Damjan Lango,Slovenia, , , , , , , , ,128,64.00,Bronze
72,Mehmet Serkan Apaydın,Türkiye, , , , , , , , ,128,64.00,Bronze
74,Grzegorz Jakacki,Poland, , , , , , , , ,127,63.50,Bronze
74,Ong Hong Yang,Singapore, , , , , , , , ,127,63.50,Bronze
76,Arjen Vreugdenhil,Netherlands, , , , , , , , ,126,63.00,Bronze
76,Jaap Beetstra,Netherlands, , , , , , , , ,126,63.00,Bronze
76,Ģirts Linde,Latvia, , , , , , , , ,126,63.00,Bronze
79,Andraž Bežek,Slovenia, , , , , , , , ,125,62.50,Bronze
80,Constantinos Scordis,Cyprus, , , , , , , , ,123,61.50,Bronze
80,Saša Stublić,Croatia, , , , , , , , ,123,61.50,Bronze
80,Thang Pham Viet,Vietnam, , , , , , , , ,123,61.50,Bronze
